date,q1,q2,q3,q4,q5
2021-12-31,-0.06622083905607444,-0.04793157095310774,-0.008942000653723524,-0.05407084838314816,-0.07597193877478052
2022-01-28,0.08381188675362519,0.03267402822108372,0.008142137781360458,-0.005218167308391823,-0.008137087868220452
2022-02-28,-0.10097271450757635,-0.12026353096250628,-0.09927308565280422,-0.05323165551194028,-0.05829561842702846
2022-03-31,-0.056275330728972665,-0.06998744649347997,-0.06162661764932354,-0.04555518670919629,-0.0417258016079515
2022-04-29,0.1724308006399924,0.1236898970836148,0.07543087015423927,0.02629223020770963,0.03425178036289054
2022-05-26,0.11894269487828998,0.07159445368606916,0.06432787197259396,0.01586163361628363,0.09490185820642082
2022-06-30,-0.04544326923497207,-0.042561620308095655,-0.041733709343120914,-0.06450079262950979,-0.054042330028136416
2022-07-29,-0.06735681943272595,-0.0378517189142717,-0.023475373854423068,-0.047498225518662646,-0.033284580711960214
2022-08-31,-0.07296592799078895,-0.06743443326784988,-0.05412448473313758,-0.05256815170967693,-0.04353830679244687
2022-09-30,0.061899136381734894,0.04013806218820169,0.03794407630756128,0.01673450566365636,-0.0015074202296507415
2022-10-31,0.10321125428788427,0.0808775765021401,0.05556705490489671,0.05441180770139176,0.00900591655563265
2022-11-30,0.09674604167875597,0.10924628271119714,0.06435908048723923,0.1387456744426127,0.033849387286308825
2022-12-30,0.1328366935187386,0.15191089319582915,0.1799867085690166,0.06373612139567732,0.06866231329753246
2023-01-11,0.06774252444239985,0.04972438465708483,0.13353698341739761,0.05635613995932458,-0.009409485697730514
2023-02-28,-0.038142360741487365,-0.005847668943433667,0.002691233833318333,0.008284269558800822,0.12839484387125047
2023-03-31,-0.04599569541662147,-0.0067245927697276355,0.028764585740148032,0.04631142590225428,0.032094873400140195
2023-04-28,-0.07971749651897901,-0.05955623150870444,-0.0296369646973816,-0.02122867077933209,-0.028042241302179513
2023-05-31,0.03626587860191344,0.026247627483724206,0.019784285329194885,-0.0007824748102873169,-0.01429082152727453
2023-06-27,0.04842503401333646,0.05525491846183163,0.03693310957252383,0.025711356733792826,-0.021432395501047034
2023-07-31,-0.085926456112604,-0.06366491577839593,-0.05595131779161772,-0.036520166755422565,-0.07419316360574367
2023-08-31,-0.00950373150524368,-0.011391793291476176,-0.005745112138270221,-0.009876548339532172,-0.0031353940540289147
2023-09-28,-0.048839687961251745,-0.039949875785296726,-0.024327081378268164,-0.015376781841003048,-0.004936234289596706
2023-10-31,0.0032627280437493513,-0.007275446095867653,-0.008579912279890954,-0.0013960927376316721,-0.0028378653105601516
2023-11-30,-0.0026627414554632745,-0.013279913543468663,-0.010771237296719775,-0.01847473074564959,-0.021020589117350243
2023-12-29,-0.0366251988710542,-0.01005602565086559,-0.018294771483518955,-0.023888689601414735,-0.09268658191742468
2024-01-31,0.16789602295083972,0.13330975860300948,0.1282259033019428,0.08805628162421444,0.10290640180037168
2024-02-29,-0.014549428462899052,0.010977772381570895,-0.004730049822351182,0.018399975951872396,0.02277786567076335
2024-03-29,0.026227146930385865,0.041218793867831935,0.04982913535322046,0.06445892223917406,0.033739809506035605
2024-04-25,0.031692121598218465,0.016448584389391254,0.020571756926561605,-0.007955075041840632,0.0016643073668850923
2024-05-31,-0.07605722632104527,-0.021470995361390546,-0.01567862169769566,-0.009805179668709058,0.012113604087177685
2024-06-28,-0.04506709648250244,-0.04533359818186993,-0.043134181404596905,-0.04108033304651248,-0.07826705080035253
2024-07-18,0.1736295591742371,0.09860110129599328,0.07110274542603488,0.0448462141852707,0.03431619488208331
2024-08-21,0.29349712291863067,0.33160785496174483,0.23101563151173712,0.16334695986919046,0.1475372975157337
2024-10-25,-0.007995870437478679,0.02088835776137387,0.015727350760636645,0.010781861087845837,0.03911289629547298
