momo,long_pct,cost,sharpe,ann,cum
60,0.2,0.0006,0.7672406005863839,0.18737519244841955,0.5436250431157661
60,0.2,0.0012,0.7548079047006012,0.18336630404979443,0.5304850287749454
60,0.3,0.0006,0.6682809575855219,0.11986731516725996,0.33131909605403526
60,0.3,0.0012,0.6521282270003574,0.11627459213442393,0.32054915814931234
120,0.2,0.0006,1.5124226059437467,0.42458195500793733,1.4461759541674444
120,0.2,0.0012,1.5051181572612866,0.42194074726846315,1.4347280392135668
120,0.3,0.0006,1.2566335124693984,0.23320773858927263,0.6987105648570884
120,0.3,0.0012,1.2464215492189514,0.23095160760529854,0.690865813490847
180,0.2,0.0006,1.4923787083481677,0.3607974588701272,1.178713928471646
180,0.2,0.0012,1.4864049786586477,0.3590181934670618,1.1715202262442945
180,0.3,0.0006,1.4069353673542264,0.24712480473703996,0.7475876117710898
180,0.3,0.0012,1.3982502871078413,0.2453375364694092,0.741263753944285
